Brand,Sneaker Name,Sale Price,Retail Price,Shoe Size
Off-White,Nike-Air-Presto-Off-White,1084,160,10
Off-White,Nike-Air-Presto-Off-White,1050,160,9
Off-White,Nike-Air-VaporMax-Off-White,605,250,7.5
Off-White,Nike-Air-VaporMax-Off-White,592,250,7
Off-White,Nike-Air-VaporMax-Off-White,650,250,8
Off-White,Nike-Blazer-Mid-Off-White,550,130,9.5
Off-White,Nike-Blazer-Mid-Off-White,620,130,11
Off-White,Nike-Blazer-Mid-Off-White,600,130,6.5
Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,395,200,12
Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,400,200,10.5
Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,385,200,10
Off-White,Nike-React-Hyperdunk-2017-Flyknit-Off-White,395,200,12
Off-White,Nike-Zoom-Fly-Off-White,450,170,11.5
Off-White,Nike-Zoom-Fly-Off-White,430,170,12.5
 Yeezy,Adidas-Yeezy-Boost-350-Low-V2-Beluga,900,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,370,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,382,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,362,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,215,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,354,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,399,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,215,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,199,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,397,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,150,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,216,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,358,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,5.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,343,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,366,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,354,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,197,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,351,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,357,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,179,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,370,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,215,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,354,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,345,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,378,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,5.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,370,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,399,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,369,220,5.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,378,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,390,220,6.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,368,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,379,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,357,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,353,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,363,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,342,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,345,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,357,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,370,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,343,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,358,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,343,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,357,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,377,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,363,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,330,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,348,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,389,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,369,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,369,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,400,220,6.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,374,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,339,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,315,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,358,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,376,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,385,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,387,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,372,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,340,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,335,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,330,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,395,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,362,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,387,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,384,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,350,220,5.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,375,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,360,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,383,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,373,220,7
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,368,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,384,220,11
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,400,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,370,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,365,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,345,220,5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,355,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,359,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,399,220,6.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,357,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Beluga-2pt0,344,220,9
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,380,220,8.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,400,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,340,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,376,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,7.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,388,220,14
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,13
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,367,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,5.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,488,220,13.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,388,220,6
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,331,220,4
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,10
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,375,220,8
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,390,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,371,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,370,220,9.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,390,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,385,220,10.5
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,390,220,12
 Yeezy,Adidas-Yeezy-Boost-350-V2-Blue-Tint,388,220,10
